transaction_type,description,transaction_date,amount,source_file
debit,Deliveroo,2026-01-25,-42.63,Jan_Feb.pdf
debit,Boots 1980 24,2026-01-25,-58.51,Jan_Feb.pdf
debit,Jan Mycrs 7097,2026-01-23,-213.29,Jan_Feb.pdf
debit,Ronald Sck 3897,2026-01-27,-32.0,Jan_Feb.pdf
debit,Ref Friend Select Express 28,2026-01-29,-1.98,Jan_Feb.pdf
debit,CoOp,2026-01-28,-19.75,Jan_Feb.pdf
debit,180248 Ronald Sck,2026-01-28,-12.0,Jan_Feb.pdf
debit,203687 Maintenanc Transfer Klarna*Roofoods,2026-02-02,-12.14,Jan_Feb.pdf
debit,LT Cash Machine Withdrawal at,2026-01-30,-250.0,Jan_Feb.pdf
debit,Tesco,2026-02-01,-16.29,Jan_Feb.pdf
debit,Tesco,2026-02-01,-16.3,Jan_Feb.pdf
debit,Deliveroo,2026-02-01,-10.36,Jan_Feb.pdf
debit,Resident Advisor T,2026-02-01,-17.28,Jan_Feb.pdf
debit,LS Beat London,2026-01-30,-20.7,Jan_Feb.pdf
debit,LS Beat London,2026-01-31,-24.84,Jan_Feb.pdf
debit,South Ealing Local,2026-01-31,-27.0,Jan_Feb.pdf
debit,LS Beat London,2026-01-30,-80.0,Jan_Feb.pdf
debit,Aditya Iyer 9828,2026-01-31,-500.0,Jan_Feb.pdf
debit,Ref Personal Acc South Ealing,2026-02-03,-3.0,Jan_Feb.pdf
debit,Deliveroo,2026-02-02,-12.81,Jan_Feb.pdf
debit,TFL Travel,2026-02-04,-10.4,Jan_Feb.pdf
debit,Deliveroo,2026-02-03,-15.94,Jan_Feb.pdf
debit,Deliveroo,2026-02-03,-18.19,Jan_Feb.pdf
debit,Cash Machine Withdrawal at,2026-02-06,-250.0,Jan_Feb.pdf
credit,ATM Withdrawal,2026-02-05,19.04,Jan_Feb.pdf
debit,155765 Education Transfer,2026-02-09,-25.8,Jan_Feb.pdf
debit,TFL Travel,2026-02-06,-3.1,Jan_Feb.pdf
debit,Feb E1,2026-02-07,-4.0,Jan_Feb.pdf
debit,E1,2026-02-07,-4.0,Jan_Feb.pdf
debit,E1,2026-02-07,-5.0,Jan_Feb.pdf
debit,TFL Travel,2026-02-07,-8.15,Jan_Feb.pdf
debit,Deliveroo,2026-02-07,-9.61,Jan_Feb.pdf
debit,TSTThe Livingroom,2026-02-06,-13.5,Jan_Feb.pdf
debit,South Ealing Fruit,2026-02-07,-14.38,Jan_Feb.pdf
debit,TSTThe Livingroom,2026-02-06,-16.5,Jan_Feb.pdf
debit,Deliveroo,2026-02-06,-17.97,Jan_Feb.pdf
debit,E1,2026-02-07,-23.0,Jan_Feb.pdf
debit,E1,2026-02-07,-23.5,Jan_Feb.pdf
debit,Deliveroo,2026-02-07,-30.36,Jan_Feb.pdf
debit,Deliveroo,2026-02-07,-53.39,Jan_Feb.pdf
debit,Cash Machine Withdrawal at,2026-02-10,-400.0,Jan_Feb.pdf
debit,ATM Withdrawal,2026-02-09,-19.05,Jan_Feb.pdf
debit,ATM Withdrawal,2026-02-09,-19.06,Jan_Feb.pdf
debit,Deliveroo,2026-02-09,-31.58,Jan_Feb.pdf
debit,Deliveroo,2026-02-11,-32.38,Jan_Feb.pdf
credit,Refund From Paypal *Reiss 10,2026-01-23,29.0,Jan_Feb.pdf
debit,Feb Klarna*Roofoods 20708,2026-02-12,-10.09,Jan_Feb.pdf
debit,Deliveroo,2026-02-11,-15.86,Jan_Feb.pdf
debit,Deliveroo,2026-02-16,-3.49,Jan_Feb.pdf
debit,TFL Travel,2026-02-15,-3.4,Jan_Feb.pdf
debit,South Ealing Fruit,2026-02-14,-16.53,Jan_Feb.pdf
debit,BoltEuo2602151944,2026-02-13,-17.82,Jan_Feb.pdf
debit,Lebara Neighbourho,2026-02-15,-18.37,Jan_Feb.pdf
debit,Little South Ealin,2026-02-14,-18.74,Jan_Feb.pdf
debit,Rhum Tavern,2026-02-14,-22.5,Jan_Feb.pdf
debit,Superdrug Sres P,2026-02-15,-22.94,Jan_Feb.pdf
debit,Resident Advisor T,2026-02-14,-23.0,Jan_Feb.pdf
debit,BoltEuo2602150801,2026-02-14,-25.04,Jan_Feb.pdf
debit,BoltEuo2602150729,2026-02-15,-25.07,Jan_Feb.pdf
debit,Deliveroo,2026-02-15,-27.94,Jan_Feb.pdf
debit,Deliveroo,2026-02-14,-28.97,Jan_Feb.pdf
debit,Deliveroo,2026-02-15,-36.19,Jan_Feb.pdf
debit,G16Zhrxat Damu Cur,2026-02-14,-43.0,Jan_Feb.pdf
debit,A8Pmpp193 Damu Cur,2026-02-14,-44.86,Jan_Feb.pdf
debit,Whhejz693 The Rhum Tavern,2026-02-14,-45.0,Jan_Feb.pdf
debit,Rhum Tavern,2026-02-15,-45.0,Jan_Feb.pdf
credit,Card Refund Resident Advisor T,2026-02-15,36.75,Jan_Feb.pdf
debit,Deliveroo,2026-02-13,-31.14,Jan_Feb.pdf
debit,Deliveroo,2026-02-17,-26.34,Jan_Feb.pdf
debit,Deliveroo,2026-02-19,-32.31,Jan_Feb.pdf
debit,Greggs PLC 19,2026-02-18,-7.3,Jan_Feb.pdf
